N1,N2,ThreadBlockShapeM,ThreadBlockShapeN,ThreadBlockShapeK,WarpShapeM,WarpShapeN,WarpShapeK,ShmemNonFusionTime,ShmemFusionTime,Fused
384,384,32,384,64,32,96,64,0.0167331,0.0187375,True
384,384,64,384,64,32,96,64,0.0167591,0.0189605,True
384,384,64,384,64,64,96,64,0.0168293,0.0254044,True
384,384,96,384,64,96,96,64,0.0169496,0.0916777,True
384,384,128,384,64,64,96,64,0.0166676,0.0428174,True
384,384,128,384,64,128,96,64,0.016622,0.156449,True
384,384,32,64,64,32,32,64,0.0219654,0.0252796,False
384,384,32,128,64,32,32,64,0.0208707,0.0252677,False
384,384,32,128,64,32,64,64,0.022183,0.0252442,False
384,384,32,128,128,32,32,128,0.0228449,0.0252636,False
384,384,64,32,64,32,32,64,0.0196209,0.0252568,False
384,384,64,64,64,32,32,64,0.0170201,0.0251948,False
384,384,64,64,64,32,64,64,0.0185642,0.0253665,False
384,384,64,64,64,64,32,64,0.0184766,0.0253277,False
384,384,64,64,128,32,32,128,0.017415,0.0253838,False
384,384,64,96,64,32,96,64,0.0173105,0.0254074,False
384,384,64,128,64,32,32,64,0.0184187,0.0252347,False
384,384,64,128,64,32,64,64,0.0178144,0.0254083,False
384,384,64,128,64,32,128,64,0.0183396,0.025333,False
384,384,64,128,64,64,32,64,0.0175389,0.025186,False
384,384,64,128,64,64,64,64,0.0184304,0.0252987,False
384,384,64,128,128,32,32,128,0.0193028,0.0253272,False
384,384,64,128,128,32,64,128,0.0180598,0.025293,False
384,384,64,128,128,64,32,128,0.0180974,0.0253739,False
384,384,96,64,64,96,32,64,0.0167782,0.0253731,False
384,384,96,96,128,32,32,128,0.0217196,0.025409,False
384,384,96,128,64,96,32,64,0.01538,0.0252904,False
384,384,96,128,64,96,64,64,0.0265992,0.0253555,False
384,384,96,128,128,32,64,128,0.0190889,0.0253255,False
384,384,96,128,128,96,32,128,0.015976,0.0251917,False
384,384,128,32,64,32,32,64,0.0177811,0.0253818,False
384,384,128,32,64,64,32,64,0.0189916,0.0252538,False
384,384,128,32,128,32,32,128,0.0206099,0.025296,False
384,384,128,64,64,32,32,64,0.0174476,0.0251984,False
384,384,128,64,64,32,64,64,0.0166687,0.0252306,False
384,384,128,64,64,64,32,64,0.016359,0.0252208,False
384,384,128,64,64,64,64,64,0.0173088,0.0254089,False
384,384,128,64,64,128,32,64,0.0175073,0.0253235,False
384,384,128,64,128,32,32,128,0.0189616,0.0252943,False
384,384,128,64,128,32,64,128,0.0176317,0.0252919,False
384,384,128,64,128,64,32,128,0.0177171,0.0252464,False
384,384,128,96,64,32,96,64,0.0151364,0.025287,False
384,384,128,96,64,64,96,64,0.0267757,0.0253933,False
384,384,128,96,128,32,96,128,0.0160276,0.0252296,False
384,384,128,96,128,64,32,128,0.0184806,0.0252364,False
384,384,128,128,64,32,32,64,0.0180246,0.025348,False
384,384,128,128,64,32,64,64,0.0167112,0.0253715,False
384,384,128,128,64,32,128,64,0.0165298,0.0252928,False
384,384,128,128,64,64,32,64,0.0165077,0.0252185,False
384,384,128,128,64,64,64,64,0.0166496,0.0253955,False
384,384,128,128,64,64,128,64,0.0798564,0.0252713,False
384,384,128,128,64,128,32,64,0.0162295,0.0252639,False
384,384,128,128,64,128,64,64,0.0725866,0.0253536,False
384,384,128,128,128,32,32,128,0.018996,0.0254021,False
384,384,128,128,128,32,64,128,0.0179571,0.0252883,False
384,384,128,128,128,32,128,128,0.0175793,0.0253806,False
384,384,128,128,128,64,32,128,0.0177745,0.0252477,False
384,384,128,128,128,64,64,128,0.0173262,0.0252334,False
384,384,128,128,128,128,32,128,0.0176561,0.0253319,False
